"step_index","loss","grad_norm","learning_rate","entropy","num_tokens","logits/chosen","logits/rejected","mean_token_accuracy","rewards/chosen","rewards/rejected","rewards/accuracies","rewards/margins","logps/chosen","logps/rejected","epoch "
"0","0.6866","5.409","4.97E-05","2.218","2.00E+04","-3.106","-3.142","0.4644","0.0539","0.03917","0.55","0.01473","-84.77","-93.2","0.01797 "
"1","0.7023","7.725","4.94E-05","2.084","4.11E+04","-3.126","-3.166","0.4565","0.1185","0.1274","0.5","-0.008855","-85.21","-106.6","0.03594 "
"2","0.6925","5.508","4.91E-05","2.151","6.27E+04","-3.111","-3.134","0.4568","0.1967","0.1754","0.525","0.02133","-102.4","-93.47","0.05391 "
"3","0.6697","5.51","4.88E-05","2.1","8.46E+04","-3.152","-3.19","0.4618","0.2301","0.1706","0.625","0.05953","-87.08","-100.9","0.07188 "
"4","0.6917","5.601","4.85E-05","2.154","1.06E+05","-3.165","-3.168","0.4704","0.2251","0.2009","0.5875","0.02423","-81.46","-87.41","0.08985 "
"5","0.6666","5.048","4.82E-05","2.077","1.26E+05","-3.165","-3.154","0.485","0.214","0.1285","0.5375","0.08541","-86.61","-94.42","0.1078 "
"6","0.6794","4.622","4.79E-05","2.105","1.47E+05","-3.137","-3.161","0.4749","0.1365","0.09159","0.575","0.04496","-77.87","-90.98","0.1258 "
"7","0.6593","7.745","4.76E-05","2.189","1.68E+05","-3.138","-3.134","0.4693","0.1241","0.004124","0.5875","0.1199","-95.8","-111","0.1438 "
"8","0.6657","6.791","4.73E-05","2.162","1.89E+05","-3.149","-3.173","0.4416","0.1255","0.03158","0.6125","0.09391","-81.79","-100.6","0.1617 "
"9","0.598","6.179","4.70E-05","2.098","2.09E+05","-3.121","-3.166","0.4667","0.1443","-0.1607","0.6625","0.3051","-80.82","-116.6","0.1797 "
"10","0.6422","6.465","4.67E-05","2.075","2.31E+05","-3.134","-3.172","0.4652","-0.01782","-0.2938","0.65","0.276","-98.62","-123.2","0.1977 "
"11","0.6671","9.362","4.64E-05","2.168","2.53E+05","-3.146","-3.142","0.4528","-0.1353","-0.3488","0.6125","0.2135","-92","-107.6","0.2156 "
"12","0.6871","8.111","4.61E-05","2.237","2.75E+05","-3.112","-3.137","0.4399","-0.07677","-0.2472","0.5875","0.1705","-87.38","-99.82","0.2336 "
"13","0.6125","6.502","4.58E-05","2.312","2.94E+05","-3.084","-3.105","0.4594","0.08498","-0.1819","0.7","0.2669","-81.54","-103.8","0.2516 "
"14","0.6836","5.902","4.55E-05","2.294","3.15E+05","-3.076","-3.095","0.4868","-0.07155","-0.2151","0.6125","0.1436","-98.94","-106.1","0.2695 "
"15","0.6398","23.08","4.52E-05","2.383","3.38E+05","-3.035","-3.037","0.4337","-0.02209","-0.2321","0.6875","0.21","-90.2","-92.96","0.2875 "
"16","0.5977","5.058","4.49E-05","2.47","3.57E+05","-2.996","-3.024","0.4591","-0.02401","-0.3293","0.7125","0.3053","-83.85","-105.8","0.3055 "
"17","0.6396","6.899","4.46E-05","2.541","3.80E+05","-2.989","-3.021","0.4272","-0.07275","-0.3625","0.6125","0.2897","-98.07","-119.8","0.3235 "
"18","0.6955","12.36","4.43E-05","2.502","4.02E+05","-3.011","-3.011","0.451","-0.2232","-3.3982","0.5875","0.175","-102.6","-98.6","0.3414 "
"19","0.6555","5.994","4.41E-05","2.545","4.27E+05","-3.016","-3.009","0.4601","-0.1322","-0.4326","0.65","0.3004","-110.4","-115.4","0.3594 "
"20","0.598","6.512","4.38E-05","2.415","4.48E+05","-3.049","-3.039","0.4729","0.01242","-0.2898","0.675","0.3022","-101.2","-101.2","0.3774 "
"21","0.6403","7.096","4.35E-05","2.433","4.67E+05","-3.034","-3.039","0.449","-0.05671","-0.2758","0.6","0.2191","-89.75","-108.2","0.3953 "
"22","0.5845","8.147","4.32E-05","2.338","4.90E+05","-3.069","-3.073","0.4655","-0.0665","-0.3763","0.7125","0.3098","-82.88","-113","0.4133 "
"23","0.576","6.788","4.29E-05","2.465","5.12E+05","-3.069","-3.064","0.4527","-0.1271","-0.4962","0.7125","0.3691","-90.77","-102.5","0.4313 "
"24","0.6229","7.708","4.26E-05","2.515","5.36E+05","-3.052","-3.066","0.4643","-0.3994","-0.7834","0.7","0.384","-99.57","-132.8","0.4492 "
"25","0.5614","8.097","4.23E-05","2.594","5.59E+05","-3.046","-3.038","0.4447","-0.334","-0.7983","0.7","0.4643","-101.1","-112.2","0.4672 "
"26","0.7217","6.751","4.20E-05","2.568","5.79E+05","-3.029","-3.045","0.4312","-0.4921","-0.7668","0.625","0.2747","-98.68","-104.9","0.4852 "
"27","0.5641","7.88","4.17E-05","2.581","6.00E+05","-3.046","-3.048","0.4245","-0.2873","-0.7598","0.725","0.4726","-87.13","-108","0.5031 "
"28","0.5228","6.868","4.14E-05","2.588","6.22E+05","-3.014","-3.022","0.475","-0.399","-1.232","0.7625","0.8335","-87.76","-134.1","0.5211 "
